smiles,num_targets,target_1_Prothrombin,target_3_Voltage-gated inwardly rectify,target_2_Cannabinoid receptor 1
NC1CCC(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](N)C(c2ccccc2)c2ccccc2)CC1,3,1.0,0.0,0.0
N=C(N)c1ccc2[nH]c(-c3ccccc3O)nc2c1,2,0.0,0.0,0.0
CN(c1cccc(OCCNc2ccncc2)c1)S(=O)(=O)c1ccccc1,3,1.0,0.0,0.0
N=C(N)c1ccc2[nH]c(-c3ccccc3O)cc2c1,3,0.0,0.0,0.0
N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,4,0.0,0.0,0.0
N=C(N)C1CCC[C@H](NC(=O)CN2CCC[C@H](NS(=O)(=O)Cc3ccccc3)C2=O)C1O,2,1.0,0.0,0.0
N=C(N)C1CCC[C@H](NC(=O)CN2CCCC[C@H](NS(=O)(=O)Cc3ccccc3)C2=O)C1O,2,0.0,0.0,0.0
CC(=N)N1CCC(Oc2ccc(N(Cc3ccc4ccc(C(=N)N)cc4c3)S(=O)(=O)CC(=O)O)cc2)CC1,5,0.0,0.0,0.0
N=C(N)c1ccccc1,10,0.0,0.0,0.0
O=S(=O)(Nc1cccc(OCCNc2ccncc2)c1)c1ccc(Cl)cc1,2,1.0,0.0,0.0
CN(C)C(=O)c1cccc(Oc2nc(Oc3cc(C(=N)N)ccc3O)c(F)c(N(C)CC(=O)O)c2F)c1,2,0.0,0.0,0.0
Nc1cc(C2=NOC(Cn3cccn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cn3)C2)ccc1Cl,3,0.0,0.0,0.0
NC(=O)NCC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cn2)CC(c2ccc(Cl)c(N)c2)=NO1,3,0.0,0.0,0.0
CS(=O)(=O)NCC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cn2)CC(c2ccc(Cl)c(N)c2)=NO1,3,0.0,0.0,0.0
CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,27,1.0,0.0,0.0
